threshold,feature,children_left,children_right,value
43.5,1,1,28,2.1637426900584797
25.5,1,2,13,0.0
16.5,1,3,4,0.0
-2.0,-2,-1,-1,0.0
4.334000110626221,2,5,12,0.15204678362573099
99.1243667602539,5,6,11,0.47953216374269003
245.4000015258789,0,7,10,0.4327485380116959
136.70000457763672,0,8,9,0.391812865497076
-2.0,-2,-1,-1,0.5964912280701754
-2.0,-2,-1,-1,0.0
-2.0,-2,-1,-1,1.3099415204678362
-2.0,-2,-1,-1,1.3099415204678362
-2.0,-2,-1,-1,0.09941520467836257
6.050999879837036,2,14,27,0.8888888888888888
43.67743492126465,5,15,18,1.368421052631579
34.07872009277344,5,16,17,0.9239766081871345
-2.0,-2,-1,-1,1.2514619883040936
-2.0,-2,-1,-1,0.8421052631578947
89.90661239624023,5,19,24,1.590643274853801
35.5,1,20,21,1.8245614035087718
-2.0,-2,-1,-1,1.4269005847953216
0.3795614689588547,6,22,23,2.1871345029239766
-2.0,-2,-1,-1,2.760233918128655
-2.0,-2,-1,-1,1.8538011695906431
234.0999984741211,0,25,26,1.4152046783625731
-2.0,-2,-1,-1,1.4269005847953216
-2.0,-2,-1,-1,0.5146198830409356
-2.0,-2,-1,-1,0.32748538011695905
159.5,4,29,466,2.3391812865497075
137.5,4,30,231,2.2339181286549707
42.35653114318848,5,31,90,1.7894736842105263
-1.592462182044983,3,32,41,1.6140350877192982
104.39999771118164,0,33,40,1.1578947368421053
31.702594757080078,5,34,37,1.2456140350877192
11.463000297546387,2,35,36,1.456140350877193
-2.0,-2,-1,-1,1.4152046783625731
-2.0,-2,-1,-1,2.526315789473684
81.0999984741211,0,38,39,0.9766081871345029
-2.0,-2,-1,-1,0.0
-2.0,-2,-1,-1,1.0935672514619883
-2.0,-2,-1,-1,0.0
89.5,1,42,77,1.6374269005847952
129.5,4,43,58,1.7076023391812865
7.608999967575073,2,44,53,1.6257309941520468
123.5,4,45,52,1.719298245614035
50.5,1,46,49,1.5789473684210527
89.0999984741211,0,47,48,0.7777777777777777
-2.0,-2,-1,-1,0.672514619883041
-2.0,-2,-1,-1,1.4853801169590644
38.63678550720215,5,50,51,1.590643274853801
-2.0,-2,-1,-1,1.6023391812865497
-2.0,-2,-1,-1,0.8421052631578947
-2.0,-2,-1,-1,1.8245614035087718
